participant_group,n_reports,description_missing_pct,summary_missing_pct,description_len_median,summary_len_median,text_len_total_median,comments_median,top_summary_share,participant_trust_score
Portal × Traffic Safety/Miscellaneous,78,1.28,0.0,235.5,28.0,263.5,4.0,91.03,0.7323914743059359
Other × Traffic Safety/Miscellaneous,98,0.0,0.0,269.5,28.0,297.5,3.0,90.82,0.7043625982941908
iPhone × Traffic Safety/Miscellaneous,115,0.0,0.0,130.0,28.0,161.0,4.0,83.48,0.6795601592408381
"Other × Unmaintained Vegetation, Right of Way",93,1.08,0.0,138.0,37.0,174.0,3.0,88.17,0.6478007301331334
Other × Traffic Signal,243,1.23,0.0,202.0,14.0,216.0,3.0,87.24,0.6302868914954638
Android × Traffic Signal,46,0.0,0.0,151.0,14.0,165.0,3.0,78.26,0.6185015231704156
"Portal × Unmaintained Vegetation, Right of Way",114,2.63,0.0,140.5,37.0,177.5,3.0,90.35,0.6171580518647133
Android × Traffic Safety/Miscellaneous,48,0.0,0.0,93.5,28.0,120.5,4.0,83.33,0.6164561720855901
Portal × Traffic Signal,104,4.81,0.0,282.5,14.0,300.0,3.0,84.62,0.6072811184498594
Portal × Sidewalk Repair,52,1.92,0.0,166.5,15.0,181.5,3.0,80.77,0.6069269787574327
Request Form × Stormwater - Miscellaneous,39,0.0,0.0,201.0,26.0,227.0,2.0,97.44,0.6025478437923626
Request Form × Traffic Sign Down,97,0.0,0.0,121.0,17.0,138.0,3.0,76.29,0.5938091115039588
Portal × Street Lighting - Traffic,39,5.13,0.0,82.0,25.0,100.0,5.0,76.92,0.5895582515682394
"Web - Desktop × Unmaintained Vegetation, Right of Way",51,1.96,0.0,138.0,37.0,175.0,3.0,96.08,0.5871541648416865
Android × Sidewalk Repair,48,0.0,0.0,136.0,15.0,159.0,3.0,83.33,0.5743668850975505
iPhone × Stormwater - Miscellaneous,32,9.38,0.0,100.0,26.0,126.0,5.0,53.12,0.5703149126300564
Request Form × Street Lighting - Traffic,36,0.0,0.0,93.0,25.0,118.0,4.0,88.89,0.565325497162567
Request Form × Sidewalk Repair,32,0.0,0.0,181.5,15.0,196.5,3.0,96.88,0.5597476254380886
Portal × Traffic Sign Down,94,1.06,0.0,111.0,17.0,130.0,3.0,78.72,0.5523441767429913
"Android × Unmaintained Vegetation, Right of Way",75,2.67,0.0,101.0,37.0,138.0,3.0,93.33,0.5324335575593894
