tid,n_items,tie_rate,maj_acc_exact_m1,maj_within1_m1,nonresponse_rate,governance_trust_score
278,100,2.0,91.0,99.0,0.4,0.9914383561643836
292,100,7.0,70.0,95.0,0.4,0.9723543866987348
291,100,14.0,69.0,94.0,1.6,0.8567097883027799
267,100,8.0,55.0,98.0,2.0,0.851248523490501
277,100,16.0,70.0,100.0,2.2,0.8397762318009037
284,100,14.0,43.0,99.0,0.6,0.8123567438645884
285,100,12.0,42.0,96.0,0.6,0.8112259189212185
271,100,23.0,56.0,96.0,0.4,0.7835794919115231
280,99,17.17,55.56,97.98,1.8,0.7820884141737724
276,100,21.0,48.0,99.0,0.4,0.7811856373920749
268,100,13.0,35.0,92.0,0.0,0.7706502498618496
253,100,10.0,45.0,95.0,2.2,0.7682233473254856
294,100,13.0,35.0,87.0,0.0,0.7467952880297886
287,99,15.15,53.54,97.98,3.2,0.7311583276286975
266,100,7.0,25.0,88.0,1.2,0.7144888323404868
269,100,24.0,50.0,96.0,1.6,0.6978644964578073
300,98,11.22,60.2,97.96,8.6,0.6722179921669669
270,100,28.0,43.0,90.0,0.2,0.6643770513724918
290,100,12.0,37.0,74.0,1.4,0.6506682373930044
264,100,24.0,34.0,86.0,0.4,0.6332067586084086
279,100,22.0,27.0,90.0,0.8,0.6227304636090756
272,100,21.0,18.0,87.0,0.2,0.6043997280826661
251,100,20.0,29.0,94.0,2.6,0.5907513551848512
293,100,32.0,42.0,86.0,0.6,0.5889959254490686
295,100,19.0,37.0,83.0,2.63,0.5798710346688634
296,100,23.0,23.0,85.0,1.0,0.5645084351512529
257,100,22.0,31.0,90.0,2.6,0.5627550883882714
256,100,25.0,32.0,86.0,2.2,0.5388862509475872
286,100,24.0,25.0,85.0,1.8,0.5300755659682577
283,100,33.0,44.0,97.0,3.2,0.5299891777760597
262,100,19.0,11.0,86.0,1.6,0.5272602520731899
289,100,21.0,13.0,74.0,0.2,0.5210275531946276
254,100,14.0,11.0,83.0,2.8,0.5052074294122617
298,100,12.0,33.0,87.0,8.2,0.49698158187031805
274,100,18.0,20.0,85.0,3.4,0.4925891621010548
263,100,26.0,15.0,86.0,1.4,0.49181929077574044
255,100,25.0,39.0,86.0,4.0,0.491720440201591
252,100,16.0,29.0,83.0,5.6,0.4447497955816759
259,100,31.0,13.0,77.0,0.4,0.43951885155423387
282,100,39.0,28.0,88.0,2.2,0.4344901776372124
258,100,27.0,25.0,81.0,3.6,0.4077587915108566
297,100,24.0,19.0,57.0,1.4,0.3879919384303328
275,100,35.0,29.0,58.0,0.6,0.373722015994155
281,100,26.0,13.0,75.0,3.4,0.34518222673916976
299,100,18.0,6.0,43.0,1.8,0.3394475124913337
288,100,37.0,45.0,87.0,6.4,0.33792315565087583
260,100,28.0,15.0,51.0,1.8,0.29025926329927726
273,100,34.0,16.0,40.0,0.8,0.2639889499476733
261,100,34.0,4.0,28.0,1.0,0.23407803198737712
265,100,40.0,18.0,54.0,2.4,0.2210162450942212
